Name,Quantity,Bin,Tags,Notes,Links & docs,Date,Location
49720A,15,BB 20,Op-Amp,,https://ti.com/lit/ds/symlink/lme49720.pdf?ts=1724312568884&ref_url=https%253A%252F%252Fwww.google.com%252F,,"BB 20, Grey Shelving"
TL072BCP OP-AMP,2,BB 20,Op-Amp,,,,"BB 20, Grey Shelving"
RC4559P,3,BB 20,Op-Amp,,https://www.ti.com/lit/ds/symlink/rc4559.pdf?ts=1724375572373&ref_url=https%253A%252F%252Fwww.mouser.ca%252F,,"BB 20, Grey Shelving"
TLE2081,9,BB 20,Op-Amp,,https://www.alldatasheet.com/datasheet-pdf/download/28973/TI/TLE2081.html,,"BB 20, Grey Shelving"
49720NA,2,BB 20,Op-Amp,,https://www.ti.com/lit/ds/symlink/lme49720.pdf?ts=1724295777400&ref_url=https%253A%252F%252Fwww.mouser.com%252F,,"BB 20, Grey Shelving"
LED 1m Strip,5,BB 21,LED,,,,"BB 21, Grey Shelving"
"8x8 Red-Green Common Anode LED Matrix ",2,BB 21,"Analog, Display, LED",,,,BB 21
"Miniature 0.8"" 8x8 Pure Green LED Matrix",2,BB 21,"Analog, Display, LED",,https://www.adafruit.com/product/1624,,BB 21
"Serial 7-Segment Display ",4,BB 21,"7-segment, Display, I2C, LED",,https://www.sparkfun.com/products/11441,,BB 21
Assorted Transistors TO-92 footprint,400,BB 19,"Through-hole, Transistors","A12,  H31,",,,BB 19
ARD-HC-05,8,BB 17,"Arduino Modules, Bluetooth, Bluetooth Module",,https://howtomechatronics.com/tutorials/arduino/arduino-and-hc-05-bluetooth-module-tutorial/,,BB 17
L298N Motor Drivers,5,BB 22,"DC Motor, Motor Driver",beginner motor driver,,,BB 22
Polulu VNH5019,2,BB 22,"Arduino Modules, DC Motor, Motor Driver",Arduino Shield,,,BB 22
"Cytron MDD10A ",1,BB 22,"DC Motor, Motor Driver",Dual channel 10 A,,,BB 22
MAX31865 RTD Sensor,1,BB 16,Temperature Sensor,Resistance temperature detectors (RTDs),https://learn.adafruit.com/adafruit-max31865-rtd-pt100-amplifier/overview,,BB 16
Neo-6 GPS receiver,1,BB 17,"3.3V, GPS",,https://lastminuteengineers.com/neo6m-gps-arduino-tutorial/,,BB 17
SparkFun Venus GPS receiver,1,BB 17,"3.3V, GPS",,,,BB 17
L293D IC bidirectional motor driver IC,2,,IC,,hu,"September 8, 2024",
IR led remote,1,BB 16,IR Sensor,,,,BB 16
Jsumo Microstart Module,1,BB 16,IR Sensor,,,,BB 16
SHARP 2Y0A21F65,17,BB 16,"IR Sensor, Sensors",,,,BB 16
DS3231 Real Time Clock,2,BB 23,"Arduino Modules, Real Time Clock",,https://howtomechatronics.com/tutorials/arduino/arduino-ds3231-real-time-clock-tutorial/,,BB 23
4D Arduino Adapter Shield,1,BB 23,Arduino Modules,,,,BB 23
Arduino Shields,9,BB 23,Arduino Modules,,,,"BB 23, Cabinet 5"
LCD Display - Analog,3,BB 23,"Analog, Arduino Modules, Display",,,,BB 23
LCD Display - I2C,2,BB 23,"Arduino Modules, Display, I2C",,,,BB 23
1.5 inch OLED Module,,,"Arduino Modules, Display, I2C, SPI",,,,Cabinet 3
USB to TTL 5PIN Serial Converter,1,BB 23,Arduino Modules,,,,"BB 23, Grey Shelving"
NPN 2N2222A,2,BB 19,Transistors,,,,"BB 19, Grey Shelving"
TXS0108E 8 Channel Logic Level Converter,5,BB 23,"3.3V, 5V, Logic Level Shifter",3.3V 5V,,,"BB 23, Grey Shelving"
"Small 7-Segment Display ",10,BB 21,"7-segment, Analog, Display, LED",,,,BB 21
"Large 7-Segment Display ",8,BB 21,"7-segment, Analog, Display, LED",,,,BB 21
030G24R Pressure Sensor,2,,"IC, Sensors",,,"September 8, 2024",IC BIN Y
40PC015G2A Pressure Sensor,1,,"IC, Sensors",,,"September 8, 2024",IC BIN Y
ESP-01S,1,BB 17,"Arduino Modules, For Wireless, WIFI",,https://www.taydaelectronics.com/datasheets/files/ESP-01S.pdf,,BB 17
Solar Panel - Small,10,BB 24,Solar,,,,"BB 24, Grey Shelving"
Solar Panel - Large,1,BB 24,Solar,,,,"BB 24, Grey Shelving"
MAX98306 - Stereo Amplifier,1,BB 23,"Arduino Modules, Audio"," 3.7W Class D Audio",https://www.adafruit.com/product/987,,BB 23
ESP32 Camera,2,BB 23,"Arduino Modules, Camera",,,"September 8, 2024","BB 23, Grey Shelving"
STM32F070F6P6,8,,IC,,,"September 8, 2024",IC BIN Y
M1-12S05 D-LINK 5.0V 2.5 A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
CS18D120150FUF CSEC 12.0VDC 1.5 A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
SWITCHING ADAPTOR FLIR 5V 2000mA,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
Replacement AC Adapter 12V 6A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
ZS-1210-HR AC/DC ADAPTER 12V 1A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
TC ELECTRONIC 9V  0.67 A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
JLH121350400U 13.5VDC 400mA,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
EA0061WAA BESTEC 12V 0.5A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
SFE-9FD SWITCH POWER ADAPTER 9V DC 650 mA,4,BB 25,power supply,,,,"BB 25, Grey Shelving"
WerkTough 13.5 V 400mAh,2,BB 25,power supply,,,,"BB 25, Grey Shelving"
T090060-2B1 TP-LINK 9V 0.6A,1,BB 25,power supply,,,,"BB 25, Grey Shelving"
micro usb charger 5.2v 2.5A,7,BB 25,power supply,,,,"BB 25, Grey Shelving"
" SF-889 AC/DC ADAPTER OUTPUT 9V DC 1A",6,BB 25,power supply,,,,"BB 25, Grey Shelving"
"ZF120A-1202000 12V ",1,BB 25,power supply,,,,"BB 25, Grey Shelving"
SN74HC148N,15,BB 26,Encoder,,https://www.mouser.ca/ProductDetail/Texas-Instruments/SN74HC148N?qs=p6YqzpSxLIz%2Fj0UxJt82UQ%3D%3D&utm_id=10159302932&gad_source=1&gclid=Cj0KCQjww5u2BhDeARIsALBuLnMhf4LLBcmNBRK1T2VrX-t6mOqJ8MwXRobl7595p-kwBqH9n-_gawAaAjrlEALw_wcB,,"BB 26, Grey Shelving"
Miscallaneous Wheels,36,BB 27,wheels,Weird Adaptors,,,"BB 27, Grey Shelving"
FW-11-04-G-D-415-100,12,BB 28,extender,,,,"BB 28, Grey Shelving"
FTSH-122-01-L,4,BB 28,extender,,,,"BB 28, Grey Shelving"
Hirose DF11-16DP-2DS Connector Header Through Hole,15,BB 28,extender,,,,"BB 28, Grey Shelving"
miscellaneous extender,-1,BB 28,extender,Really old weird extenders,,,"BB 28, Grey Shelving"
random screws,-1,,screws,old screws,,,Cabinet 6
FBS 2-5 Plug-in bridge,50,BB 29,Connector,,,,BB 29
DF3-4S-2C,23,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF3-8S-2C,24,BB 29,Connector,,,,"BB 29, Grey Shelving"
MEDIUM 90 DEGREE CONNECTORS,4,BB 29,Connector,,,,"BB 29, Grey Shelving"
WM1787-ND,3,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-18DS-2C,5,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-6DS-2C,26,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-30DEP,3,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-16DEP-2C,6,BB 29,Connector,,,,"BB 29, Grey Shelving"
DW-02-07-G-S-200,15,BB 28,Connector,,,,"BB 28, Grey Shelving"
DF11-6DP-2DS,6,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-10DP-2DS(22() TIN,22,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-8DP-2DPS(52),11,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-8DP-2DSA,17,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-8DEP-2C,32,BB 29,Connector,,,,"BB 29, Grey Shelving"
DF11-8DEP-2C,32,BB 29,Connector,,,,"BB 29, Grey Shelving"
2-PIN 5MM PITCH SCREW TERMINAL BLOCK,8,BB 29,"Connector, power connectors",,,,"BB 29, Grey Shelving"
